iter,frames,mean_reward,loss_total,loss_policy,loss_value
28,114688,-0.05060674250125885,-0.05828136202035239,-0.05879948462243192,0.0005181224172702059
29,118784,-0.04820331931114197,-0.05835648379579652,-0.05885145551001188,0.0004949716460032505
30,122880,-0.04618869721889496,-0.055910880564624676,-0.05643677517364267,0.0005258945973764639
31,126976,-0.04496268928050995,-0.05936403456635162,-0.05985161444696132,0.0004875795613770606
32,131072,-0.042457420378923416,-0.053771879416308364,-0.05414608648279682,0.00037420726075652053
33,135168,-0.040821608155965805,-0.05189705280936323,-0.052254815309424885,0.0003577625277102925
34,139264,-0.03948317468166351,-0.0512418266671375,-0.05157208666787483,0.0003302602543044486
35,143360,-0.038251422345638275,-0.0481555153730369,-0.04847959306935081,0.0003240777324208466
36,147456,-0.03685625642538071,-0.0512845294244471,-0.05156301806855481,0.00027848860781887197
37,151552,-0.0356096513569355,-0.05314776683881064,-0.053420036153693215,0.00027226937791056114
38,155648,-0.033154863864183426,-0.04238664881995646,-0.0426682013014215,0.00028155249419796745
39,159744,-0.03196146339178085,-0.04507160346647652,-0.045318450016202404,0.0002468461405442213
40,163840,-0.03006124496459961,-0.04550527517421869,-0.04573141456348821,0.00022613936853304039
41,167936,-0.02892393432557583,-0.04343515040745842,-0.043644221642171036,0.0002090714012410899
42,172032,-0.027167925611138344,-0.040927872143947754,-0.041126427022391,0.00019855489026667782
43,176128,-0.026119958609342575,-0.04280215795879485,-0.04297147746838163,0.00016931953014136524
44,180224,-0.024969398975372314,-0.04123534184982418,-0.04137122692191042,0.00013588512692876975
45,184320,-0.02396417409181595,-0.03926493976059646,-0.039408639480825514,0.0001437000260921195
46,188416,-0.021947328001260757,-0.034225874685762395,-0.034356716414913537,0.00013084155139040377
47,192512,-0.020807331427931786,-0.03317047682267003,-0.03329787367547397,0.0001273966825010575
48,196608,-0.01983914151787758,-0.03446872847312079,-0.03456714961503167,9.84211749255337e-05
49,200704,-0.018723804503679276,-0.03417953449998094,-0.03426491161517333,8.537692885965953e-05
1,4096,-0.08503297716379166,-0.008082452969392761,-0.06271385083819041,0.05463139776547905
2,8192,-0.08510931581258774,-0.0465550507811713,-0.05685928080638405,0.010304230188194197
3,12288,-0.08503523468971252,-0.05311954061326105,-0.05821064231859054,0.005091101517609786
4,16384,-0.084776870906353,-0.05647221488470677,-0.06020153326680884,0.0037293182933353817
5,20480,-0.08405396342277527,-0.055116837908281015,-0.05813905916875228,0.0030222213667002507
6,24576,-0.0834227055311203,-0.0612946633817046,-0.06392321018793154,0.0026285469662980176
7,28672,-0.08202369511127472,-0.05505386832664953,-0.05730920959467767,0.0022553411392436827
8,32768,-0.08163969963788986,-0.06211542382079642,-0.06419827303034253,0.002082849309226731
9,36864,-0.08073294162750244,-0.05918675701759639,-0.06079693126084749,0.0016101743254694155
10,40960,-0.07997436821460724,-0.06123164356176858,-0.0626858253905084,0.0014541817494318821
11,45056,-0.07831569761037827,-0.05869636875140714,-0.05996494662540499,0.001268577950395411
12,49152,-0.07761767506599426,-0.06097016845087637,-0.062114591541467236,0.0011444234045484337
13,53248,-0.07643139362335205,-0.061881202116637724,-0.06292645272042137,0.0010452504833665444
14,57344,-0.07463614642620087,-0.06039810978254536,-0.061533098691143095,0.0011349888467520942
15,61440,-0.07309526950120926,-0.06482064407973667,-0.06575491657131352,0.0009342725355963921
16,65536,-0.07183250784873962,-0.06126416180595697,-0.06214200253016315,0.0008778408009675331
17,69632,-0.07004973292350769,-0.059558013770583784,-0.06034662304446101,0.0007886091927503003
18,73728,-0.06891320645809174,-0.05856144192293868,-0.059321732331591194,0.0007602901841892162
19,77824,-0.06742609292268753,-0.06495887487908476,-0.06574640801991335,0.0007875330313254381
20,81920,-0.06626034528017044,-0.061722608414129354,-0.06241946238442324,0.0006968539466470248
21,86016,-0.0646468997001648,-0.06285020603827433,-0.06355774527182803,0.000707539160430315
22,90112,-0.06116349622607231,-0.05911353051196784,-0.059803791850572455,0.0006902613371494226
23,94208,-0.059244778007268906,-0.06178161094721872,-0.06253989386896137,0.0007582831301988335
24,98304,-0.05767595022916794,-0.05797093733017391,-0.05858297160302754,0.0006120344283772283
25,102400,-0.05552796646952629,-0.06251216982127517,-0.06314820214174688,0.0006360325311106863
26,106496,-0.05350397527217865,-0.05889421746323933,-0.0593959132762393,0.000501695710227068
27,110592,-0.0517052598297596,-0.058528668192593614,-0.05900905425078236,0.00048038603672466705
28,114688,-0.05060674250125885,-0.05828136202035239,-0.05879948462243192,0.0005181224172702059
29,118784,-0.04820331931114197,-0.05835648379579652,-0.05885145551001188,0.0004949716460032505
30,122880,-0.04618869721889496,-0.055910880564624676,-0.05643677517364267,0.0005258945973764639
31,126976,-0.04496268928050995,-0.05936403456635162,-0.05985161444696132,0.0004875795613770606
32,131072,-0.042457420378923416,-0.053771879416308364,-0.05414608648279682,0.00037420726075652053
33,135168,-0.040821608155965805,-0.05189705280936323,-0.052254815309424885,0.0003577625277102925
34,139264,-0.03948317468166351,-0.0512418266671375,-0.05157208666787483,0.0003302602543044486
35,143360,-0.038251422345638275,-0.0481555153730369,-0.04847959306935081,0.0003240777324208466
36,147456,-0.03685625642538071,-0.0512845294244471,-0.05156301806855481,0.00027848860781887197
37,151552,-0.0356096513569355,-0.05314776683881064,-0.053420036153693215,0.00027226937791056114
38,155648,-0.033154863864183426,-0.04238664881995646,-0.0426682013014215,0.00028155249419796745
39,159744,-0.03196146339178085,-0.04507160346647652,-0.045318450016202404,0.0002468461405442213
40,163840,-0.03006124496459961,-0.04550527517421869,-0.04573141456348821,0.00022613936853304039
41,167936,-0.02892393432557583,-0.04343515040745842,-0.043644221642171036,0.0002090714012410899
42,172032,-0.027167925611138344,-0.040927872143947754,-0.041126427022391,0.00019855489026667782
43,176128,-0.026119958609342575,-0.04280215795879485,-0.04297147746838163,0.00016931953014136524
44,180224,-0.024969398975372314,-0.04123534184982418,-0.04137122692191042,0.00013588512692876975
45,184320,-0.02396417409181595,-0.03926493976059646,-0.039408639480825514,0.0001437000260921195
46,188416,-0.021947328001260757,-0.034225874685762395,-0.034356716414913537,0.00013084155139040377
47,192512,-0.020807331427931786,-0.03317047682267003,-0.03329787367547397,0.0001273966825010575
48,196608,-0.01983914151787758,-0.03446872847312079,-0.03456714961503167,9.84211749255337e-05
49,200704,-0.018723804503679276,-0.03417953449998094,-0.03426491161517333,8.537692885965953e-05
1,4096,-0.08503297716379166,-0.008082452969392761,-0.06271385083819041,0.05463139776547905
2,8192,-0.08510931581258774,-0.0465550507811713,-0.05685928080638405,0.010304230188194197
3,12288,-0.08503523468971252,-0.05311954061326105,-0.05821064231859054,0.005091101517609786
4,16384,-0.084776870906353,-0.05647221488470677,-0.06020153326680884,0.0037293182933353817
5,20480,-0.08405396342277527,-0.055116837908281015,-0.05813905916875228,0.0030222213667002507
6,24576,-0.0834227055311203,-0.0612946633817046,-0.06392321018793154,0.0026285469662980176
7,28672,-0.08202369511127472,-0.05505386832664953,-0.05730920959467767,0.0022553411392436827
8,32768,-0.08163969963788986,-0.06211542382079642,-0.06419827303034253,0.002082849309226731
9,36864,-0.08073294162750244,-0.05918675701759639,-0.06079693126084749,0.0016101743254694155
10,40960,-0.07997436821460724,-0.06123164356176858,-0.0626858253905084,0.0014541817494318821
11,45056,-0.07831569761037827,-0.05869636875140714,-0.05996494662540499,0.001268577950395411
12,49152,-0.07761767506599426,-0.06097016845087637,-0.062114591541467236,0.0011444234045484337
13,53248,-0.07643139362335205,-0.061881202116637724,-0.06292645272042137,0.0010452504833665444
14,57344,-0.07463614642620087,-0.06039810978254536,-0.061533098691143095,0.0011349888467520942
15,61440,-0.07309526950120926,-0.06482064407973667,-0.06575491657131352,0.0009342725355963921
16,65536,-0.07183250784873962,-0.06126416180595697,-0.06214200253016315,0.0008778408009675331
17,69632,-0.07004973292350769,-0.059558013770583784,-0.06034662304446101,0.0007886091927503003
18,73728,-0.06891320645809174,-0.05856144192293868,-0.059321732331591194,0.0007602901841892162
19,77824,-0.06742609292268753,-0.06495887487908476,-0.06574640801991335,0.0007875330313254381
20,81920,-0.06626034528017044,-0.061722608414129354,-0.06241946238442324,0.0006968539466470248
21,86016,-0.0646468997001648,-0.06285020603827433,-0.06355774527182803,0.000707539160430315
22,90112,-0.06116349622607231,-0.05911353051196784,-0.059803791850572455,0.0006902613371494226
23,94208,-0.059244778007268906,-0.06178161094721872,-0.06253989386896137,0.0007582831301988335
24,98304,-0.05767595022916794,-0.05797093733017391,-0.05858297160302754,0.0006120344283772283
25,102400,-0.05552796646952629,-0.06251216982127517,-0.06314820214174688,0.0006360325311106863
26,106496,-0.05350397527217865,-0.05889421746323933,-0.0593959132762393,0.000501695710227068
27,110592,-0.0517052598297596,-0.058528668192593614,-0.05900905425078236,0.00048038603672466705
28,114688,-0.05060674250125885,-0.05828136202035239,-0.05879948462243192,0.0005181224172702059
29,118784,-0.04820331931114197,-0.05835648379579652,-0.05885145551001188,0.0004949716460032505
30,122880,-0.04618869721889496,-0.055910880564624676,-0.05643677517364267,0.0005258945973764639
31,126976,-0.04496268928050995,-0.05936403456635162,-0.05985161444696132,0.0004875795613770606
32,131072,-0.042457420378923416,-0.053771879416308364,-0.05414608648279682,0.00037420726075652053
33,135168,-0.040821608155965805,-0.05189705280936323,-0.052254815309424885,0.0003577625277102925
34,139264,-0.03948317468166351,-0.0512418266671375,-0.05157208666787483,0.0003302602543044486
35,143360,-0.038251422345638275,-0.0481555153730369,-0.04847959306935081,0.0003240777324208466
36,147456,-0.03685625642538071,-0.0512845294244471,-0.05156301806855481,0.00027848860781887197
37,151552,-0.0356096513569355,-0.05314776683881064,-0.053420036153693215,0.00027226937791056114
38,155648,-0.033154863864183426,-0.04238664881995646,-0.0426682013014215,0.00028155249419796745
39,159744,-0.03196146339178085,-0.04507160346647652,-0.045318450016202404,0.0002468461405442213
40,163840,-0.03006124496459961,-0.04550527517421869,-0.04573141456348821,0.00022613936853304039
41,167936,-0.02892393432557583,-0.04343515040745842,-0.043644221642171036,0.0002090714012410899
42,172032,-0.027167925611138344,-0.040927872143947754,-0.041126427022391,0.00019855489026667782
43,176128,-0.026119958609342575,-0.04280215795879485,-0.04297147746838163,0.00016931953014136524
44,180224,-0.024969398975372314,-0.04123534184982418,-0.04137122692191042,0.00013588512692876975
45,184320,-0.02396417409181595,-0.03926493976059646,-0.039408639480825514,0.0001437000260921195
46,188416,-0.021947328001260757,-0.034225874685762395,-0.034356716414913537,0.00013084155139040377
47,192512,-0.020807331427931786,-0.03317047682267003,-0.03329787367547397,0.0001273966825010575
48,196608,-0.01983914151787758,-0.03446872847312079,-0.03456714961503167,9.84211749255337e-05
49,200704,-0.018723804503679276,-0.03417953449998094,-0.03426491161517333,8.537692885965953e-05
1,4096,-0.08503297716379166,-0.008082452969392761,-0.06271385083819041,0.05463139776547905
2,8192,-0.08510931581258774,-0.0465550507811713,-0.05685928080638405,0.010304230188194197
3,12288,-0.08503523468971252,-0.05311954061326105,-0.05821064231859054,0.005091101517609786
4,16384,-0.084776870906353,-0.05647221488470677,-0.06020153326680884,0.0037293182933353817
5,20480,-0.08405396342277527,-0.055116837908281015,-0.05813905916875228,0.0030222213667002507
6,24576,-0.0834227055311203,-0.0612946633817046,-0.06392321018793154,0.0026285469662980176
7,28672,-0.08202369511127472,-0.05505386832664953,-0.05730920959467767,0.0022553411392436827
8,32768,-0.08163969963788986,-0.06211542382079642,-0.06419827303034253,0.002082849309226731
9,36864,-0.08073294162750244,-0.05918675701759639,-0.06079693126084749,0.0016101743254694155
10,40960,-0.07997436821460724,-0.06123164356176858,-0.0626858253905084,0.0014541817494318821
11,45056,-0.07831569761037827,-0.05869636875140714,-0.05996494662540499,0.001268577950395411
12,49152,-0.07761767506599426,-0.06097016845087637,-0.062114591541467236,0.0011444234045484337
13,53248,-0.07643139362335205,-0.061881202116637724,-0.06292645272042137,0.0010452504833665444
14,57344,-0.07463614642620087,-0.06039810978254536,-0.061533098691143095,0.0011349888467520942
15,61440,-0.07309526950120926,-0.06482064407973667,-0.06575491657131352,0.0009342725355963921
16,65536,-0.07183250784873962,-0.06126416180595697,-0.06214200253016315,0.0008778408009675331
17,69632,-0.07004973292350769,-0.059558013770583784,-0.06034662304446101,0.0007886091927503003
18,73728,-0.06891320645809174,-0.05856144192293868,-0.059321732331591194,0.0007602901841892162
19,77824,-0.06742609292268753,-0.06495887487908476,-0.06574640801991335,0.0007875330313254381
20,81920,-0.06626034528017044,-0.061722608414129354,-0.06241946238442324,0.0006968539466470248
21,86016,-0.0646468997001648,-0.06285020603827433,-0.06355774527182803,0.000707539160430315
22,90112,-0.06116349622607231,-0.05911353051196784,-0.059803791850572455,0.0006902613371494226
23,94208,-0.059244778007268906,-0.06178161094721872,-0.06253989386896137,0.0007582831301988335
24,98304,-0.05767595022916794,-0.05797093733017391,-0.05858297160302754,0.0006120344283772283
25,102400,-0.05552796646952629,-0.06251216982127517,-0.06314820214174688,0.0006360325311106863
26,106496,-0.05350397527217865,-0.05889421746323933,-0.0593959132762393,0.000501695710227068
27,110592,-0.0517052598297596,-0.058528668192593614,-0.05900905425078236,0.00048038603672466705
28,114688,-0.05060674250125885,-0.05828136202035239,-0.05879948462243192,0.0005181224172702059
29,118784,-0.04820331931114197,-0.05835648379579652,-0.05885145551001188,0.0004949716460032505
30,122880,-0.04618869721889496,-0.055910880564624676,-0.05643677517364267,0.0005258945973764639
31,126976,-0.04496268928050995,-0.05936403456635162,-0.05985161444696132,0.0004875795613770606
32,131072,-0.042457420378923416,-0.053771879416308364,-0.05414608648279682,0.00037420726075652053
33,135168,-0.040821608155965805,-0.05189705280936323,-0.052254815309424885,0.0003577625277102925
34,139264,-0.03948317468166351,-0.0512418266671375,-0.05157208666787483,0.0003302602543044486
35,143360,-0.038251422345638275,-0.0481555153730369,-0.04847959306935081,0.0003240777324208466
36,147456,-0.03685625642538071,-0.0512845294244471,-0.05156301806855481,0.00027848860781887197
37,151552,-0.0356096513569355,-0.05314776683881064,-0.053420036153693215,0.00027226937791056114
38,155648,-0.033154863864183426,-0.04238664881995646,-0.0426682013014215,0.00028155249419796745
39,159744,-0.03196146339178085,-0.04507160346647652,-0.045318450016202404,0.0002468461405442213
40,163840,-0.03006124496459961,-0.04550527517421869,-0.04573141456348821,0.00022613936853304039
41,167936,-0.02892393432557583,-0.04343515040745842,-0.043644221642171036,0.0002090714012410899
42,172032,-0.027167925611138344,-0.040927872143947754,-0.041126427022391,0.00019855489026667782
43,176128,-0.026119958609342575,-0.04280215795879485,-0.04297147746838163,0.00016931953014136524
44,180224,-0.024969398975372314,-0.04123534184982418,-0.04137122692191042,0.00013588512692876975
45,184320,-0.02396417409181595,-0.03926493976059646,-0.039408639480825514,0.0001437000260921195
46,188416,-0.021947328001260757,-0.034225874685762395,-0.034356716414913537,0.00013084155139040377
47,192512,-0.020807331427931786,-0.03317047682267003,-0.03329787367547397,0.0001273966825010575
48,196608,-0.01983914151787758,-0.03446872847312079,-0.03456714961503167,9.84211749255337e-05
49,200704,-0.018723804503679276,-0.03417953449998094,-0.03426491161517333,8.537692885965953e-05
1,4096,-0.08503297716379166,-0.008082452969392761,-0.06271385083819041,0.05463139776547905
2,8192,-0.08510931581258774,-0.0465550507811713,-0.05685928080638405,0.010304230188194197
3,12288,-0.08503523468971252,-0.05311954061326105,-0.05821064231859054,0.005091101517609786
4,16384,-0.084776870906353,-0.05647221488470677,-0.06020153326680884,0.0037293182933353817
5,20480,-0.08405396342277527,-0.055116837908281015,-0.05813905916875228,0.0030222213667002507
6,24576,-0.0834227055311203,-0.0612946633817046,-0.06392321018793154,0.0026285469662980176
7,28672,-0.08202369511127472,-0.05505386832664953,-0.05730920959467767,0.0022553411392436827
8,32768,-0.08163969963788986,-0.06211542382079642,-0.06419827303034253,0.002082849309226731
9,36864,-0.08073294162750244,-0.05918675701759639,-0.06079693126084749,0.0016101743254694155
10,40960,-0.07997436821460724,-0.06123164356176858,-0.0626858253905084,0.0014541817494318821
11,45056,-0.07831569761037827,-0.05869636875140714,-0.05996494662540499,0.001268577950395411
12,49152,-0.07761767506599426,-0.06097016845087637,-0.062114591541467236,0.0011444234045484337
13,53248,-0.07643139362335205,-0.061881202116637724,-0.06292645272042137,0.0010452504833665444
14,57344,-0.07463614642620087,-0.06039810978254536,-0.061533098691143095,0.0011349888467520942
15,61440,-0.07309526950120926,-0.06482064407973667,-0.06575491657131352,0.0009342725355963921
16,65536,-0.07183250784873962,-0.06126416180595697,-0.06214200253016315,0.0008778408009675331
17,69632,-0.07004973292350769,-0.059558013770583784,-0.06034662304446101,0.0007886091927503003
18,73728,-0.06891320645809174,-0.05856144192293868,-0.059321732331591194,0.0007602901841892162
19,77824,-0.06742609292268753,-0.06495887487908476,-0.06574640801991335,0.0007875330313254381
20,81920,-0.06626034528017044,-0.061722608414129354,-0.06241946238442324,0.0006968539466470248
21,86016,-0.0646468997001648,-0.06285020603827433,-0.06355774527182803,0.000707539160430315
22,90112,-0.06116349622607231,-0.05911353051196784,-0.059803791850572455,0.0006902613371494226
23,94208,-0.059244778007268906,-0.06178161094721872,-0.06253989386896137,0.0007582831301988335
24,98304,-0.05767595022916794,-0.05797093733017391,-0.05858297160302754,0.0006120344283772283
25,102400,-0.05552796646952629,-0.06251216982127517,-0.06314820214174688,0.0006360325311106863
26,106496,-0.05350397527217865,-0.05889421746323933,-0.0593959132762393,0.000501695710227068
27,110592,-0.0517052598297596,-0.058528668192593614,-0.05900905425078236,0.00048038603672466705
28,114688,-0.05060674250125885,-0.05828136202035239,-0.05879948462243192,0.0005181224172702059
29,118784,-0.04820331931114197,-0.05835648379579652,-0.05885145551001188,0.0004949716460032505
30,122880,-0.04618869721889496,-0.055910880564624676,-0.05643677517364267,0.0005258945973764639
31,126976,-0.04496268928050995,-0.05936403456635162,-0.05985161444696132,0.0004875795613770606
32,131072,-0.042457420378923416,-0.053771879416308364,-0.05414608648279682,0.00037420726075652053
33,135168,-0.040821608155965805,-0.05189705280936323,-0.052254815309424885,0.0003577625277102925
34,139264,-0.03948317468166351,-0.0512418266671375,-0.05157208666787483,0.0003302602543044486
35,143360,-0.038251422345638275,-0.0481555153730369,-0.04847959306935081,0.0003240777324208466
36,147456,-0.03685625642538071,-0.0512845294244471,-0.05156301806855481,0.00027848860781887197
37,151552,-0.0356096513569355,-0.05314776683881064,-0.053420036153693215,0.00027226937791056114
38,155648,-0.033154863864183426,-0.04238664881995646,-0.0426682013014215,0.00028155249419796745
39,159744,-0.03196146339178085,-0.04507160346647652,-0.045318450016202404,0.0002468461405442213
40,163840,-0.03006124496459961,-0.04550527517421869,-0.04573141456348821,0.00022613936853304039
41,167936,-0.02892393432557583,-0.04343515040745842,-0.043644221642171036,0.0002090714012410899
42,172032,-0.027167925611138344,-0.040927872143947754,-0.041126427022391,0.00019855489026667782
43,176128,-0.026119958609342575,-0.04280215795879485,-0.04297147746838163,0.00016931953014136524
44,180224,-0.024969398975372314,-0.04123534184982418,-0.04137122692191042,0.00013588512692876975
45,184320,-0.02396417409181595,-0.03926493976059646,-0.039408639480825514,0.0001437000260921195
46,188416,-0.021947328001260757,-0.034225874685762395,-0.034356716414913537,0.00013084155139040377
47,192512,-0.020807331427931786,-0.03317047682267003,-0.03329787367547397,0.0001273966825010575
48,196608,-0.01983914151787758,-0.03446872847312079,-0.03456714961503167,9.84211749255337e-05
49,200704,-0.018723804503679276,-0.03417953449998094,-0.03426491161517333,8.537692885965953e-05
1,4096,-0.08503297716379166,-0.008082452969392761,-0.06271385083819041,0.05463139776547905
2,8192,-0.08510931581258774,-0.0465550507811713,-0.05685928080638405,0.010304230188194197
3,12288,-0.08503523468971252,-0.05311954061326105,-0.05821064231859054,0.005091101517609786
4,16384,-0.084776870906353,-0.05647221488470677,-0.06020153326680884,0.0037293182933353817
5,20480,-0.08405396342277527,-0.055116837908281015,-0.05813905916875228,0.0030222213667002507
6,24576,-0.0834227055311203,-0.0612946633817046,-0.06392321018793154,0.0026285469662980176
7,28672,-0.08202369511127472,-0.05505386832664953,-0.05730920959467767,0.0022553411392436827
8,32768,-0.08163969963788986,-0.06211542382079642,-0.06419827303034253,0.002082849309226731
9,36864,-0.08073294162750244,-0.05918675701759639,-0.06079693126084749,0.0016101743254694155
10,40960,-0.07997436821460724,-0.06123164356176858,-0.0626858253905084,0.0014541817494318821
11,45056,-0.07831569761037827,-0.05869636875140714,-0.05996494662540499,0.001268577950395411
12,49152,-0.07761767506599426,-0.06097016845087637,-0.062114591541467236,0.0011444234045484337
13,53248,-0.07643139362335205,-0.061881202116637724,-0.06292645272042137,0.0010452504833665444
14,57344,-0.07463614642620087,-0.06039810978254536,-0.061533098691143095,0.0011349888467520942
15,61440,-0.07309526950120926,-0.06482064407973667,-0.06575491657131352,0.0009342725355963921
16,65536,-0.07183250784873962,-0.06126416180595697,-0.06214200253016315,0.0008778408009675331
